timestamp,source_ip,dest_ip,bytes_sent,status_code,protocol
2026-01-23 13:49:07,201.168.121.172,192.168.1.1,17006,200,HTTP
2026-01-18 06:16:28,11.246.24.171,192.168.1.1,757,200,UDP
2026-01-22 05:51:36,139.66.20.198,192.168.1.1,2166,200,UDP
2026-01-19 02:27:03,165.11.235.116,192.168.1.1,16280,200,TCP
2026-01-07 08:10:28,209.3.222.62,192.168.1.1,5164,500,HTTP
2026-01-04 14:08:48,209.176.137.37,192.168.1.1,18679,200,TCP
2026-01-23 17:28:05,135.64.111.44,192.168.1.1,7925,200,HTTP
2026-02-04 22:27:38,186.182.154.1,192.168.1.1,16558,200,UDP
2026-01-06 02:02:02,218.120.36.240,192.168.1.1,549,500,TCP
2026-01-28 09:24:15,156.223.141.112,192.168.1.1,151,500,TCP
2026-01-01 00:10:03,195.223.96.127,192.168.1.1,10792,404,UDP
2026-01-31 02:12:39,50.82.209.117,192.168.1.1,7425,500,TCP
2026-01-25 10:59:22,186.182.154.1,192.168.1.1,1091,200,UDP
2026-01-13 15:03:35,40.56.220.25,192.168.1.1,16229,404,UDP
2026-01-04 02:24:41,152.53.244.35,192.168.1.1,3161,404,HTTP
2026-01-29 23:02:55,136.219.184.203,192.168.1.1,5411,500,HTTP
2026-01-17 18:46:00,186.182.154.1,192.168.1.1,15275,404,TCP
2026-01-21 14:46:34,220.115.239.37,192.168.1.1,11498,404,UDP
2026-02-03 10:23:58,212.53.135.116,192.168.1.1,11090,500,UDP
2026-01-29 19:20:56,210.66.87.182,192.168.1.1,12244,404,HTTP
2026-01-08 11:54:56,152.228.86.46,192.168.1.1,9030,500,TCP
2026-01-26 22:09:01,74.73.148.244,192.168.1.1,4730,404,UDP
2026-01-19 00:12:40,139.66.20.198,192.168.1.1,11935,404,HTTP
2026-01-10 02:47:21,220.28.25.10,192.168.1.1,6781,200,HTTP
2026-02-05 09:08:11,152.53.244.35,192.168.1.1,17801,200,TCP
2026-01-28 15:45:40,209.176.137.37,192.168.1.1,16133,500,TCP
2026-01-15 09:38:26,220.28.25.10,192.168.1.1,436,200,HTTP
2026-01-01 06:40:25,136.219.184.203,192.168.1.1,16783,500,UDP
2026-02-01 03:47:34,69.233.234.189,192.168.1.1,13920,500,UDP
2026-01-28 06:31:16,217.68.220.151,192.168.1.1,410,500,HTTP
2026-01-02 16:05:03,69.233.234.189,192.168.1.1,17966,200,UDP
2026-01-03 05:47:23,138.253.155.215,192.168.1.1,10826,500,HTTP
2026-02-02 13:42:14,222.56.120.233,192.168.1.1,8889,200,UDP
2026-01-26 23:03:20,173.194.122.178,192.168.1.1,13913,404,HTTP
2026-01-05 00:11:00,40.56.220.25,192.168.1.1,14721,200,UDP
